Lieu de prêt,Emplacement,"Nb prêt
02/01/17","Nb prêt
03/01/17","Nb prêt
04/01/17","Nb prêt
05/01/17","Nb prêt
06/01/17","Nb prêt
07/01/17","Nb prêt
09/01/17","Nb prêt
10/01/17","Nb prêt
11/01/17","Nb prêt
12/01/17","Nb prêt
13/01/17","Nb prêt
14/01/17","Nb prêt
16/01/17","Nb prêt
17/01/17","Nb prêt
18/01/17","Nb prêt
19/01/17","Nb prêt
20/01/17","Nb prêt
21/01/17","Nb prêt
23/01/17","Nb prêt
24/01/17","Nb prêt
25/01/17","Nb prêt
26/01/17","Nb prêt
27/01/17","Nb prêt
28/01/17","Nb prêt
30/01/17","Nb prêt
31/01/17"
                         ,PSYCHOLOGIE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL,1,669,1172,461,566,1891,0,515,984,330,457,1864,0,466,925,346,611,1618,0,418,1192,365,441,1940,2,484
                         ,ALBUMS,1,51,168,73,85,264,0,69,200,44,61,281,0,26,135,16,82,261,0,57,221,55,41,225,0,45
                         ,ARTS,0,13,19,2,26,34,0,13,6,6,8,16,0,11,10,23,14,32,0,13,11,8,6,40,0,12
                         ,GRAPHISME,0,2,6,4,2,17,0,0,2,1,1,6,0,1,2,1,3,6,0,4,3,2,0,4,0,1
                         ,BD ADULTES,0,56,75,31,29,134,0,34,37,13,38,87,0,33,64,12,48,106,0,24,55,12,33,130,0,30
                         ,BD JEUNESSE,0,49,238,41,39,280,0,16,109,33,52,362,0,27,172,65,61,193,0,11,230,74,50,299,0,22
                         ,CINEMA ADULTES,0,126,121,49,45,152,0,52,68,59,67,156,0,45,76,35,49,139,0,36,105,27,54,193,1,73
                         ,CINEMA JEUNESSE,0,35,50,24,9,65,0,20,47,11,11,105,0,9,45,14,19,95,0,9,38,14,12,95,0,17
                         ,CINEMA,0,3,0,0,1,2,0,0,0,2,1,1,0,0,1,0,0,1,0,0,2,1,1,1,0,0
                         ,DANSE,0,7,5,8,4,11,0,1,2,1,2,12,0,3,18,8,1,6,0,1,8,0,1,32,0,12
                         ,GEOGRAPHIE,0,6,25,6,13,32,0,3,30,0,6,44,0,3,10,11,5,39,0,12,9,4,15,29,0,4
                         ,HISTOIRE,0,7,11,5,6,23,0,3,12,12,11,14,0,5,8,9,6,16,0,7,8,3,12,21,0,8
                         ,INFORMATIQUE,0,4,2,2,7,4,0,0,6,1,0,6,0,7,5,4,0,6,0,2,8,2,2,4,0,9
                         ,JEUX D'ASSEMBLAGE,0,6,8,6,3,13,0,14,11,2,3,12,0,3,19,5,10,21,0,1,16,3,2,10,0,6
                         ,JEUX D'EXERCICES,0,1,6,5,1,12,0,8,15,0,5,7,0,4,6,1,0,24,0,2,4,0,3,13,0,8
                         ,LIVRES SUR LES JEUX,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,0,13,40,12,9,56,0,10,21,7,9,42,0,5,38,7,12,63,0,12,26,5,12,81,0,16
