Lieu de prêt,Emplacement,"Nb prêt
01/03/17","Nb prêt
02/03/17","Nb prêt
03/03/17","Nb prêt
04/03/17","Nb prêt
06/03/17","Nb prêt
07/03/17","Nb prêt
08/03/17","Nb prêt
09/03/17","Nb prêt
10/03/17","Nb prêt
11/03/17","Nb prêt
13/03/17","Nb prêt
14/03/17","Nb prêt
15/03/17","Nb prêt
16/03/17","Nb prêt
17/03/17","Nb prêt
18/03/17","Nb prêt
20/03/17","Nb prêt
21/03/17","Nb prêt
22/03/17","Nb prêt
23/03/17","Nb prêt
24/03/17","Nb prêt
25/03/17","Nb prêt
27/03/17","Nb prêt
28/03/17","Nb prêt
29/03/17","Nb prêt
30/03/17","Nb prêt
31/03/17"
                         ,JEUX A REGLES,27,2,4,0,0,5,27,6,15,0,0,0,13,2,16,0,0,0,35,3,10,0,0,0,20,14,7
                         ,JEUX SYMBOLIQUES,5,3,8,0,0,0,14,4,1,0,0,0,19,3,0,0,0,0,20,3,6,0,0,0,16,2,3
                         ,JEUX VIDEO,11,4,1,0,0,0,10,0,1,0,0,0,11,1,1,0,0,0,13,0,2,0,0,0,9,0,2
                         ,PRESSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL,1210,520,578,2060,0,585,1161,479,519,1788,11,431,1256,443,416,1907,9,602,1282,401,353,1903,0,448,986,343,546
                         ,ALBUMS,208,62,73,296,0,67,234,60,62,269,0,57,198,66,115,294,0,91,236,41,49,350,0,20,147,59,59
                         ,ARTS,31,10,6,21,0,11,11,8,11,49,0,2,11,4,3,27,0,13,34,4,14,20,0,6,25,3,11
                         ,GRAPHISME,0,1,2,8,0,2,2,3,6,7,0,3,2,3,1,12,0,0,5,0,2,4,0,1,14,0,1
                         ,BD ADULTES,75,23,31,123,0,45,26,43,26,130,1,17,54,17,9,128,0,40,62,31,17,69,0,33,48,18,15
                         ,BD JEUNESSE,152,76,40,430,0,47,220,40,35,288,0,19,197,63,16,315,5,48,209,15,26,360,0,36,150,30,52
                         ,CINEMA ADULTES,94,67,58,148,0,38,93,31,61,152,4,46,55,49,19,162,1,62,61,45,23,108,0,42,65,40,66
                         ,CINEMA JEUNESSE,32,11,21,98,0,20,42,14,24,55,0,29,46,3,6,70,0,11,65,4,11,95,0,19,25,4,20
                         ,CINEMA,1,1,1,2,0,1,2,0,1,2,0,2,5,3,0,0,0,2,4,0,1,0,0,1,1,0,5
                         ,DANSE,2,1,4,10,0,0,2,9,2,7,0,0,15,2,0,6,0,0,7,6,8,7,0,2,0,2,0
                         ,GEOGRAPHIE,19,9,9,29,0,13,25,3,7,25,0,5,35,8,16,19,0,9,15,5,5,17,0,13,21,7,17
                         ,HISTOIRE,6,3,8,20,0,3,9,19,8,16,2,7,13,6,0,20,0,15,15,7,5,24,0,16,18,3,6
                         ,INFORMATIQUE,6,3,5,4,0,6,9,4,1,11,1,0,3,6,1,3,0,3,2,5,0,7,0,3,3,0,1
                         ,JEUX D'ASSEMBLAGE,15,8,5,32,0,8,22,2,5,19,0,2,6,4,5,19,0,3,19,1,5,27,0,2,21,4,4
                         ,JEUX D'EXERCICES,15,4,6,24,0,22,5,1,1,16,0,4,23,4,4,8,0,16,9,3,3,31,0,3,16,4,6
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
                         ,JEUX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,38,12,14,76,0,12,31,6,3,73,0,18,41,17,10,78,0,22,54,4,2,79,0,7,40,6,9
                         ,JEUX SYMBOLIQUES,11,7,4,27,0,11,18,4,1,21,0,0,22,5,3,14,0,7,10,2,5,22,0,4,19,6,3
                         ,JEUX VIDEO,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
                         ,LANGUES,5,2,5,3,0,13,4,2,2,15,0,1,17,0,4,3,0,5,17,2,9,23,0,3,2,3,0
                         ,LETTRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE,1,0,3,1,0,1,4,1,2,6,0,0,4,4,2,15,0,0,0,1,0,6,0,0,1,1,6
                         ,FONDS LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
                         ,LOISIRS CREATIFS,11,4,0,19,0,5,15,1,2,21,0,7,14,4,7,32,0,6,11,2,3,28,0,3,12,3,15
                         ,MUSIQUE ADULTES,103,51,55,181,0,56,57,36,51,154,0,43,87,43,48,192,0,41,80,46,23,96,0,48,78,38,49
                         ,MUSIQUE,1,2,3,4,0,2,1,1,2,4,0,0,1,0,0,6,0,4,3,0,1,2,0,3,1,0,1
                         ,MUSIQUE JEUNESSE,16,7,3,36,0,10,13,3,3,17,0,12,18,3,3,24,0,6,14,4,2,37,0,1,6,4,4
                         ,PHILOSOPHIE,5,12,2,9,0,2,4,1,1,9,0,1,14,0,1,15,0,5,5,4,0,15,0,1,1,1,1
                         ,PRESSE,7,12,10,31,0,7,12,7,32,30,0,2,27,6,6,24,0,20,16,9,13,36,0,4,16,9,13
                         ,FONDS PRO,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3
                         ,PSYCHOLOGIE,16,14,16,10,0,12,9,4,3,16,1,1,22,10,4,16,0,2,6,1,0,26,0,7,8,0,3
                         ,RELIGIONS,2,2,3,3,0,0,1,1,2,6,0,1,5,3,1,3,0,1,2,3,1,3,0,1,2,3,0
                         ,ROMANS ADULTES,95,63,77,179,0,76,103,87,66,101,1,76,116,53,46,131,2,84,103,85,71,129,0,94,95,50,70
                         ,ROMANS JEUNESSE,84,22,39,92,0,8,58,23,19,95,0,12,97,16,20,113,0,21,106,22,14,119,0,5,48,5,17
                         ,SCIENCES,46,11,27,50,0,15,31,15,16,46,1,6,30,9,15,62,1,18,46,17,6,45,0,16,31,11,37
                         ,SOCIETE,19,6,12,22,0,13,16,8,15,48,0,18,20,8,2,27,0,10,13,9,4,27,0,13,12,12,14
