Lieu de prêt,Emplacement,"Nb prêt
01/02/17","Nb prêt
02/02/17","Nb prêt
03/02/17","Nb prêt
04/02/17","Nb prêt
06/02/17","Nb prêt
07/02/17","Nb prêt
08/02/17","Nb prêt
09/02/17","Nb prêt
10/02/17","Nb prêt
11/02/17","Nb prêt
13/02/17","Nb prêt
14/02/17","Nb prêt
15/02/17","Nb prêt
16/02/17","Nb prêt
17/02/17","Nb prêt
18/02/17","Nb prêt
20/02/17","Nb prêt
21/02/17","Nb prêt
22/02/17","Nb prêt
23/02/17","Nb prêt
24/02/17","Nb prêt
25/02/17","Nb prêt
27/02/17","Nb prêt
28/02/17"
                         ,ALBUMS,227,50,47,350,0,57,242,61,98,189,7,177,86,70,114,252,0,168,128,172,101,234,0,102
                         ,ARTS,28,9,7,31,0,13,16,3,20,24,0,17,14,3,8,46,0,14,13,17,7,34,0,9
                         ,GRAPHISME,2,1,0,10,0,2,3,1,1,9,0,4,2,4,3,18,0,6,8,4,0,9,0,3
                         ,BD ADULTES,54,30,15,145,0,37,75,43,68,90,0,70,59,54,35,111,0,64,53,45,26,90,0,48
                         ,BD JEUNESSE,206,40,33,354,0,28,237,43,92,364,0,143,184,88,72,188,0,263,169,121,68,234,0,38
                         ,CINEMA ADULTES,66,59,31,176,0,69,92,43,53,125,1,79,89,92,42,118,0,57,67,71,51,92,0,104
                         ,CINEMA JEUNESSE,46,14,28,79,0,13,54,16,41,84,0,58,34,23,36,56,0,63,42,29,18,45,0,28
                         ,CINEMA,0,3,1,4,0,0,3,1,2,0,0,2,0,1,1,2,0,0,2,2,0,1,0,2
                         ,DANSE,2,5,6,1,0,14,6,0,3,7,0,0,8,17,4,14,0,2,12,1,1,0,0,9
                         ,GEOGRAPHIE,19,5,4,29,0,13,17,3,10,23,0,18,17,12,15,29,0,18,41,13,15,32,0,10
                         ,HISTOIRE,8,7,6,36,0,11,7,4,13,19,0,9,18,4,15,33,0,3,15,10,7,22,0,1
                         ,INFORMATIQUE,2,6,1,5,0,1,4,1,6,13,0,9,1,13,4,14,0,3,3,0,6,8,0,1
                         ,JEUX D'ASSEMBLAGE,16,5,4,13,1,4,12,7,5,17,0,16,10,1,9,13,0,11,6,10,3,16,0,9
                         ,JEUX D'EXERCICES,28,0,3,11,0,7,5,5,2,16,0,11,10,3,3,26,0,3,5,4,10,8,5,4
                         ,LIVRES SUR LES JEUX,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,42,7,4,65,0,19,38,4,12,48,0,27,32,20,30,45,0,36,37,27,16,69,0,9
                         ,JEUX SYMBOLIQUES,17,3,6,11,0,12,14,3,11,16,0,15,10,4,3,13,4,10,14,12,8,14,0,8
                         ,JEUX VIDEO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES,2,4,16,5,0,1,5,1,1,7,0,16,2,9,6,20,0,5,2,0,3,5,0,9
                         ,LETTRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
                         ,LITTERATURE,1,0,3,2,0,3,6,1,2,11,0,0,1,0,7,6,0,0,2,1,2,6,0,0
                         ,FONDS LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0
                         ,LOISIRS CREATIFS,18,0,4,17,0,3,12,10,10,8,0,5,8,4,3,16,0,16,11,26,8,8,0,4
                         ,MUSIQUE ADULTES,72,48,41,163,2,63,96,14,56,148,0,69,106,52,39,134,0,67,68,33,57,128,0,73
                         ,MUSIQUE,0,4,3,7,0,17,5,4,7,4,0,3,1,1,0,3,0,0,4,2,0,7,0,2
                         ,MUSIQUE JEUNESSE,17,6,5,13,0,14,15,5,5,36,0,4,3,4,10,14,0,20,14,3,5,18,0,2
                         ,PHILOSOPHIE,8,3,6,10,0,6,7,0,2,9,0,12,8,3,4,5,0,8,13,2,1,4,0,0
                         ,PRESSE,15,2,2,26,0,18,3,6,11,30,0,24,16,9,9,37,0,19,37,8,1,40,0,9
                         ,FONDS PRO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1
                         ,PSYCHOLOGIE,5,7,1,16,0,11,15,4,0,2,0,9,14,4,1,15,0,2,9,10,8,13,1,1
                         ,RELIGIONS,8,0,2,1,0,3,6,0,1,5,0,2,2,1,0,3,0,4,1,1,2,0,0,0
                         ,ROMANS ADULTES,81,56,75,156,1,129,108,41,72,187,0,99,100,93,54,118,1,131,146,88,81,125,0,105
                         ,ROMANS JEUNESSE,80,30,10,140,0,7,92,16,21,114,2,53,61,53,45,53,0,76,59,58,24,108,0,34
                         ,SCIENCES,53,2,7,48,0,7,23,3,20,53,0,32,26,9,44,36,0,35,18,43,24,46,0,10
                         ,SOCIETE,13,8,11,20,0,23,21,6,5,46,0,14,18,15,10,28,0,11,16,32,23,31,0,7
                         ,SPORTS ET LOISIRS,6,0,0,13,0,13,3,0,14,17,0,7,4,7,1,7,0,4,8,3,5,5,0,1
                         ,VIE PRATIQUE,31,15,15,48,0,29,53,23,22,51,1,26,32,33,18,46,3,38,40,22,19,50,0,26
                         ,THEATRE,10,1,16,59,0,9,98,28,22,0,0,21,23,1,0,12,0,26,53,7,22,20,0,17
                         ,xx,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0
Bellevue,TOTAL,610,54,251,0,230,268,526,59,169,3,256,153,161,1,152,0,222,197,248,2,141,0,192,296
                         ,ALBUMS,92,42,60,0,51,43,97,50,36,0,87,30,26,0,29,0,32,43,45,2,21,0,45,77
                         ,ARTS,2,0,0,0,1,1,10,0,0,0,5,10,6,0,5,0,2,0,3,0,0,0,0,1
                         ,GRAPHISME,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
                         ,BD ADULTES,32,0,16,0,14,3,7,0,9,0,3,6,1,0,1,0,6,8,16,0,7,0,8,8
                         ,BD JEUNESSE,169,1,28,0,37,76,141,1,35,0,32,37,33,0,13,0,54,40,33,0,15,0,29,76
                         ,CINEMA ADULTES,25,1,8,0,7,19,31,0,15,1,16,7,6,0,13,0,19,5,19,0,4,0,7,3
                         ,CINEMA JEUNESSE,46,6,49,0,48,17,36,0,0,0,19,6,18,0,12,0,14,10,13,0,4,0,8,4
                         ,CINEMA,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,DANSE,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3
                         ,GEOGRAPHIE,9,0,4,0,0,3,4,0,2,0,0,3,1,0,0,0,1,0,3,0,1,0,7,7
                         ,HISTOIRE,1,0,3,0,0,0,4,0,1,0,0,0,6,0,1,0,1,0,0,0,6,0,3,0
                         ,INFORMATIQUE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,JEUX D'EXERCICES,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,3,1,0,0,0,0,2,0
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
                         ,JEUX VIDEO,0,0,0,0,1,4,2,0,1,0,1,1,0,0,1,0,1,3,0,0,1,0,0,0
                         ,LANGUES,10,0,3,0,1,4,10,0,1,0,0,0,1,0,0,0,2,0,3,0,1,0,2,2
                         ,LOISIRS CREATIFS,7,0,1,0,4,4,2,0,3,0,6,3,1,0,0,0,2,3,4,0,3,0,0,2
                         ,MUSIQUE ADULTES,17,0,15,0,10,13,14,0,3,0,2,1,4,0,7,0,14,9,4,0,6,0,8,4
                         ,MUSIQUE JEUNESSE,1,1,3,0,3,9,6,1,0,0,4,1,4,0,2,0,0,3,1,0,3,0,0,5
                         ,PHILOSOPHIE,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,2,0,1,2
                         ,PRESSE,39,0,13,0,5,10,10,0,6,0,18,4,15,0,6,0,16,6,10,0,1,0,28,24
                         ,FONDS PRO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE,5,0,0,0,6,0,0,0,1,0,2,2,0,1,2,0,1,0,3,0,5,0,0,8
                         ,RELIGIONS,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
                         ,ROMANS ADULTES,29,0,18,0,21,14,40,0,34,0,26,17,27,0,22,0,24,23,32,0,16,0,17,13
                         ,ROMANS JEUNESSE,87,2,20,0,8,37,79,2,15,1,23,14,4,0,29,0,19,21,31,0,15,0,8,31
                         ,SCIENCES,9,0,4,0,2,0,3,1,1,0,4,0,1,0,3,0,2,9,6,0,8,0,4,4
                         ,SOCIETE,2,0,1,0,1,1,1,0,4,0,1,2,1,0,1,0,0,3,2,0,9,0,5,9
                         ,SPORTS ET LOISIRS,3,0,1,0,1,2,5,0,1,0,0,1,2,0,0,0,2,1,4,0,2,0,3,1
                         ,VIE PRATIQUE,19,0,1,0,4,7,18,0,0,0,2,7,3,0,4,0,4,7,10,0,7,0,4,8
                         ,THEATRE,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
Ludothèque Municipale,TOTAL,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX D'EXERCICES,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,SPORTS ET LOISIRS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon,TOTAL,385,185,152,417,3,121,392,133,158,509,0,298,332,266,208,0,1,371,274,238,264,0,2,204
                         ,ALBUMS,105,39,29,89,1,20,57,27,18,144,0,76,74,74,17,0,0,57,72,87,51,0,1,42
                         ,ARTS,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0
                         ,GRAPHISME,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,BD ADULTES,9,18,13,18,0,7,41,4,31,40,0,11,30,12,26,0,0,30,1,5,20,0,0,16
                         ,BD JEUNESSE,89,30,10,106,0,3,107,26,35,99,0,58,63,59,21,0,0,86,53,25,50,0,0,14
                         ,CINEMA ADULTES,2,2,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,4,2,1,0,0,0,2
                         ,CINEMA JEUNESSE,0,0,0,0,0,2,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
                         ,CINEMA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE,2,2,0,0,0,0,0,0,0,4,0,1,1,2,4,0,0,0,1,0,0,0,0,0
                         ,HISTOIRE,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
                         ,INFORMATIQUE,4,2,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,2,1,3,2,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,1,1,0,0,1,1,0,6,0,2,2,1,2,0,0,2,0,0,0,0,0,0
                         ,JEUX D'EXERCICES,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
                         ,JEUX A REGLES,38,23,39,39,0,9,13,3,13,41,0,33,28,24,29,0,0,37,19,31,24,0,0,10
                         ,JEUX SYMBOLIQUES,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO,7,0,3,13,0,6,9,1,3,16,0,21,10,17,11,0,0,21,13,14,9,0,0,1
                         ,LANGUES,17,2,1,1,0,4,9,2,4,2,0,9,2,2,11,0,0,4,7,2,4,0,0,6
                         ,LOISIRS CREATIFS,1,2,1,6,1,0,3,3,6,10,0,2,3,11,3,0,0,2,3,5,9,0,0,6
                         ,MUSIQUE ADULTES,0,0,0,1,0,8,1,2,1,2,0,0,0,1,0,0,0,4,1,0,3,0,0,3
                         ,MUSIQUE JEUNESSE,4,0,0,0,0,1,3,1,0,1,0,0,0,1,1,0,0,4,0,2,1,0,0,0
                         ,PHILOSOPHIE,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,PRESSE,13,8,0,26,0,4,7,6,3,14,0,8,13,9,6,0,0,8,14,1,5,0,1,13
                         ,FONDS PRO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PSYCHOLOGIE,11,4,4,4,0,1,11,3,4,1,0,7,3,2,4,0,0,2,1,3,4,0,0,6
                         ,ROMANS ADULTES,31,22,23,25,0,24,29,26,20,29,0,47,37,11,43,0,0,42,18,12,46,0,0,44
                         ,ROMANS JEUNESSE,20,11,8,45,0,22,65,14,7,57,0,3,20,19,11,0,1,37,27,29,20,0,0,11
                         ,SCIENCES,3,1,0,3,0,2,5,2,3,7,0,4,6,1,2,0,0,2,5,0,1,0,0,5
                         ,SOCIETE,6,4,6,6,0,4,6,4,3,4,0,3,13,5,8,0,0,8,13,5,0,0,0,5
                         ,SPORTS ET LOISIRS,0,0,6,6,0,2,6,0,0,2,0,0,0,0,2,0,0,1,4,3,3,0,0,1
                         ,VIE PRATIQUE,20,13,4,22,1,0,16,2,5,27,0,12,20,11,3,0,0,16,15,9,10,0,0,15
                         ,THEATRE,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
