Lieu de prêt,Emplacement,"Nb prêt
01/04/17","Nb prêt
03/04/17","Nb prêt
04/04/17","Nb prêt
05/04/17","Nb prêt
06/04/17","Nb prêt
07/04/17","Nb prêt
08/04/17","Nb prêt
10/04/17","Nb prêt
11/04/17","Nb prêt
12/04/17","Nb prêt
13/04/17","Nb prêt
14/04/17","Nb prêt
15/04/17","Nb prêt
18/04/17","Nb prêt
19/04/17","Nb prêt
20/04/17","Nb prêt
21/04/17","Nb prêt
22/04/17","Nb prêt
24/04/17","Nb prêt
25/04/17","Nb prêt
26/04/17","Nb prêt
27/04/17","Nb prêt
28/04/17","Nb prêt
29/04/17"
                         ,ARTS,0,4,5,6,1,4,0,0,2,1,1,0,0,0,0,0,1,0,1,2,2,1,1,0
                         ,GRAPHISME,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,BD ADULTES,0,7,15,3,0,19,0,10,21,18,0,5,0,2,22,0,3,0,11,0,21,0,5,0
                         ,BD JEUNESSE,0,47,91,176,0,50,0,12,30,13,0,29,0,7,32,0,11,0,48,47,218,0,49,0
                         ,CINEMA ADULTES,0,8,13,17,0,12,0,4,2,2,0,7,0,0,5,0,9,0,12,18,26,0,7,0
                         ,CINEMA JEUNESSE,0,9,10,18,0,10,0,14,1,17,0,3,0,0,19,0,3,0,16,6,31,0,21,0
                         ,CINEMA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
                         ,GEOGRAPHIE,0,1,7,19,0,2,0,1,0,4,0,5,0,0,3,0,1,0,3,2,16,0,1,0
                         ,HISTOIRE,0,5,4,2,0,2,0,0,0,0,3,2,0,2,1,0,1,0,0,1,7,0,0,0
                         ,INFORMATIQUE,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
                         ,JEUX D'ASSEMBLAGE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
                         ,JEUX D'EXERCICES,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
                         ,JEUX A REGLES,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1,0
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
                         ,JEUX VIDEO,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0
                         ,LANGUES,0,0,1,4,0,5,0,0,2,1,0,1,0,0,1,0,0,0,2,0,2,0,0,0
                         ,FONDS LOCAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS,0,1,4,4,0,3,0,1,0,2,0,0,0,0,0,0,0,0,6,4,9,1,1,0
                         ,MUSIQUE ADULTES,0,14,11,30,0,5,0,4,8,1,0,4,0,4,4,0,1,0,15,2,16,1,0,0
                         ,MUSIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,MUSIQUE JEUNESSE,0,3,2,7,0,7,0,2,1,1,0,0,0,2,6,0,0,0,2,4,9,1,10,0
                         ,PHILOSOPHIE,0,3,1,1,0,9,0,1,0,1,0,0,0,1,1,0,0,0,3,1,4,0,4,0
                         ,PRESSE,0,6,27,44,0,17,0,10,6,14,2,13,0,3,41,0,4,0,23,20,39,1,22,0
                         ,FONDS PRO,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE,0,6,4,5,0,4,0,2,0,2,0,1,0,2,1,0,0,0,2,3,7,0,5,0
                         ,RELIGIONS,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0
                         ,ROMANS ADULTES,0,40,32,36,0,26,0,15,21,11,2,21,0,24,18,0,23,0,40,12,43,1,17,0
                         ,ROMANS JEUNESSE,0,50,32,86,1,38,0,8,6,16,0,15,0,4,9,0,3,0,24,25,120,1,18,0
                         ,SCIENCES,0,8,3,13,0,6,0,2,7,4,0,2,0,0,4,0,4,0,0,0,17,0,10,0
                         ,SOCIETE,0,2,0,6,0,12,0,0,6,0,0,1,0,0,5,0,0,0,3,2,2,1,0,0
                         ,SPORTS ET LOISIRS,0,5,1,4,0,4,0,0,2,2,0,6,0,0,1,0,0,0,5,2,5,0,5,0
                         ,VIE PRATIQUE,0,2,9,15,0,11,0,1,6,6,1,3,0,3,6,0,1,0,3,2,20,0,6,0
                         ,THEATRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gao Xingjian - Sillon,TOTAL,222,5,167,310,237,226,253,1,260,174,222,298,0,231,274,143,245,0,4,324,387,192,184,310
                         ,ALBUMS,40,3,33,56,39,21,49,0,26,15,30,111,0,39,56,36,29,0,1,81,109,18,25,35
                         ,ARTS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,GRAPHISME,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES,25,0,6,20,19,32,14,0,32,10,9,12,0,4,1,16,32,0,2,46,13,13,6,17
                         ,BD JEUNESSE,50,0,21,66,35,48,72,0,46,34,52,35,0,27,69,25,48,0,1,16,70,14,22,83
                         ,CINEMA ADULTES,0,0,1,0,0,7,0,0,3,8,0,0,0,8,0,1,4,0,0,9,1,1,4,0
                         ,CINEMA JEUNESSE,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,5,2,1,0,0
                         ,CINEMA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,HISTOIRE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,INFORMATIQUE,0,0,1,4,11,1,2,0,0,3,0,1,0,4,0,0,2,0,0,1,1,1,0,0
                         ,JEUX D'ASSEMBLAGE,1,0,3,1,0,2,1,0,1,1,0,0,0,0,1,0,1,0,0,9,0,0,2,0
                         ,JEUX D'EXERCICES,3,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0
                         ,JEUX A REGLES,9,0,17,25,11,21,29,0,23,23,28,47,0,11,16,14,19,0,0,23,29,6,9,24
                         ,JEUX SYMBOLIQUES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO,12,0,11,7,7,13,6,0,15,12,3,10,0,6,9,5,4,0,0,11,15,3,13,19
                         ,LANGUES,1,1,4,5,8,2,8,0,4,0,12,3,0,8,11,0,5,0,0,3,1,29,0,6
                         ,LOISIRS CREATIFS,4,0,2,7,8,2,1,0,7,2,3,3,0,10,9,2,6,0,0,4,13,12,1,10
                         ,MUSIQUE ADULTES,0,0,3,1,1,2,0,0,5,0,4,1,0,0,0,4,0,0,0,2,2,0,0,0
                         ,MUSIQUE JEUNESSE,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
                         ,PHILOSOPHIE,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE,3,0,4,11,3,10,0,0,4,5,18,1,0,8,11,3,13,0,0,4,10,6,5,6
                         ,FONDS PRO,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
                         ,PSYCHOLOGIE,3,0,0,3,7,4,3,0,5,2,7,5,0,6,2,2,9,0,0,5,7,1,8,4
                         ,RELIGIONS,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,ROMANS ADULTES,31,0,25,40,38,22,22,0,31,28,18,32,0,32,39,15,35,0,0,54,18,38,46,29
                         ,ROMANS JEUNESSE,15,1,11,27,12,21,27,1,33,7,16,17,0,23,26,14,24,0,0,12,52,29,18,40
                         ,SCIENCES,2,0,0,10,5,0,1,0,3,1,3,0,0,1,2,2,1,0,0,4,11,3,3,18
                         ,SOCIETE,1,0,1,11,5,3,5,0,6,8,2,11,0,17,8,2,2,0,0,1,10,5,4,0
                         ,SPORTS ET LOISIRS,7,0,0,4,0,1,2,0,4,1,0,6,0,6,0,0,3,0,0,3,3,0,1,0
                         ,VIE PRATIQUE,10,0,17,10,20,11,6,0,7,11,13,1,0,12,12,0,7,0,0,20,16,12,14,16
                         ,THEATRE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
