Lieu de prêt,Emplacement,"Nb prêt
01/04/17","Nb prêt
03/04/17","Nb prêt
04/04/17","Nb prêt
05/04/17","Nb prêt
06/04/17","Nb prêt
07/04/17","Nb prêt
08/04/17","Nb prêt
10/04/17","Nb prêt
11/04/17","Nb prêt
12/04/17","Nb prêt
13/04/17","Nb prêt
14/04/17","Nb prêt
15/04/17","Nb prêt
18/04/17","Nb prêt
19/04/17","Nb prêt
20/04/17","Nb prêt
21/04/17","Nb prêt
22/04/17","Nb prêt
24/04/17","Nb prêt
25/04/17","Nb prêt
26/04/17","Nb prêt
27/04/17","Nb prêt
28/04/17","Nb prêt
29/04/17"
Tous,                   ,2346,282,1384,2346,673,1399,1646,174,1442,1428,1050,1164,1097,1177,1542,1014,1184,1742,300,1463,2956,872,1443,1802
Bourg,TOTAL,0,0,261,422,45,325,0,41,158,197,2,178,0,129,132,0,141,0,0,310,638,81,306,0
                         ,ALBUMS,0,0,54,130,21,103,0,21,25,84,2,57,0,55,35,0,39,0,0,119,152,54,106,0
                         ,ARTS,0,0,0,1,0,4,0,0,0,5,0,1,0,0,2,0,0,0,0,4,1,2,0,0
                         ,GRAPHISME,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES,0,0,8,18,0,10,0,0,4,8,0,2,0,0,6,0,6,0,0,2,24,0,1,0
                         ,BD JEUNESSE,0,0,30,95,11,38,0,0,24,16,0,26,0,12,2,0,16,0,0,39,147,4,53,0
                         ,CINEMA ADULTES,0,0,6,2,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,2,4,1,0,0
                         ,CINEMA JEUNESSE,0,0,3,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,1,0
                         ,CINEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,DANSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,GEOGRAPHIE,0,0,4,21,0,5,0,0,1,5,0,6,0,0,1,0,4,0,0,1,7,1,6,0
                         ,HISTOIRE,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,INFORMATIQUE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
                         ,JEUX VIDEO,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES,0,0,0,10,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0
                         ,LITTERATURE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,FONDS LOCAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS,0,0,1,3,0,6,0,0,2,3,0,5,0,0,3,0,1,0,0,8,7,2,4,0
                         ,MUSIQUE ADULTES,0,0,26,19,0,11,0,0,11,1,0,7,0,5,12,0,8,0,0,16,26,1,5,0
                         ,MUSIQUE JEUNESSE,0,0,1,0,0,6,0,6,0,2,0,1,0,1,0,0,0,0,0,4,9,5,4,0
                         ,PHILOSOPHIE,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE,0,0,26,14,3,5,0,0,17,10,0,12,0,10,12,0,0,0,0,10,68,0,17,0
                         ,PSYCHOLOGIE,0,0,0,2,1,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0,4,0,0,0
                         ,RELIGIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
                         ,ROMANS ADULTES,0,0,54,34,0,68,0,0,45,33,0,33,0,14,32,0,46,0,0,56,62,2,43,0
                         ,ROMANS JEUNESSE,0,0,21,22,4,36,0,2,12,11,0,11,0,22,9,0,7,0,0,20,77,2,53,0
                         ,SCIENCES,0,0,2,17,2,8,0,6,2,2,0,4,0,2,1,0,2,0,0,6,5,2,3,0
                         ,SOCIETE,0,0,3,4,1,2,0,0,2,2,0,2,0,0,1,0,1,0,0,2,11,1,2,0
                         ,SPORTS ET LOISIRS,0,0,0,3,0,1,0,0,3,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0
                         ,VIE PRATIQUE,0,0,6,20,1,13,0,6,8,3,0,5,0,2,10,0,5,0,0,13,28,2,6,0
                         ,THEATRE,0,0,12,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Haute-Chaussée,TOTAL,0,0,0,49,5,16,0,0,0,15,10,7,0,0,43,5,19,0,3,8,67,40,39,0
                         ,BD ADULTES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,BD JEUNESSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,CINEMA ADULTES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
                         ,GEOGRAPHIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,4,0,0,0,0,0,3,3,0,0,0,3,0,4,0,0,1,4,9,7,0
                         ,JEUX D'EXERCICES,0,0,0,2,3,11,0,0,0,4,4,2,0,0,12,0,10,0,0,0,11,4,8,0
                         ,JEUX A REGLES,0,0,0,25,0,2,0,0,0,4,2,1,0,0,19,5,2,0,0,6,25,18,14,0
                         ,JEUX SYMBOLIQUES,0,0,0,9,1,1,0,0,0,0,1,4,0,0,7,0,3,0,0,0,15,3,6,0
                         ,JEUX VIDEO,0,0,0,9,1,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,6,4,1,0
                         ,LOISIRS CREATIFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
                         ,PRESSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
                         ,ROMANS JEUNESSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,SOCIETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,VIE PRATIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Charles-Gautier-Hermeland,TOTAL,2124,1,607,980,382,529,1393,2,871,897,806,547,1097,738,847,866,694,1742,20,606,1072,527,653,1492
                         ,ALBUMS,314,0,53,188,30,78,111,0,170,159,120,64,169,144,127,189,98,210,2,73,172,45,120,160
                         ,ARTS,29,0,12,6,28,9,22,0,10,11,17,6,12,26,24,21,4,31,0,10,25,13,13,28
                         ,GRAPHISME,6,0,1,5,1,2,9,0,0,5,8,3,4,1,3,6,1,8,0,2,0,0,2,8
                         ,BD ADULTES,129,0,26,28,24,46,77,0,50,49,35,21,79,35,40,62,30,127,0,29,53,39,28,134
                         ,BD JEUNESSE,332,0,53,200,33,62,319,1,141,142,104,64,197,89,99,87,132,325,9,40,170,49,81,275
                         ,CINEMA ADULTES,121,0,75,77,33,44,108,0,49,30,54,65,103,67,38,59,44,106,0,56,94,36,40,120
                         ,CINEMA JEUNESSE,78,0,20,53,4,10,72,0,37,27,36,18,52,47,19,34,23,89,0,9,50,11,15,55
                         ,CINEMA,2,0,2,2,2,1,0,0,1,1,3,1,0,0,0,1,1,1,0,1,2,0,0,1
                         ,DANSE,4,0,3,0,0,2,0,0,0,3,1,7,1,4,1,0,14,4,0,5,0,7,31,5
                         ,GEOGRAPHIE,31,0,12,22,14,11,21,0,15,24,10,18,29,7,34,22,18,26,0,24,24,13,16,22
                         ,HISTOIRE,19,0,11,3,7,3,10,0,12,9,4,4,19,11,7,7,14,16,0,11,10,11,8,15
                         ,INFORMATIQUE,13,0,1,0,1,4,18,0,4,8,3,2,0,2,4,9,3,3,0,3,1,1,6,13
                         ,JEUX D'ASSEMBLAGE,14,0,5,14,2,5,9,0,6,8,1,6,10,6,21,7,12,21,0,3,21,2,3,14
                         ,JEUX D'EXERCICES,17,0,4,14,1,2,10,0,5,19,8,6,9,4,9,8,8,9,0,4,11,5,0,5
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
                         ,JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX A REGLES,60,0,9,24,7,11,55,0,34,31,25,14,36,24,41,27,16,49,0,10,22,5,4,52
                         ,JEUX SYMBOLIQUES,31,0,7,10,4,5,17,0,11,9,5,7,13,7,15,6,8,12,0,6,19,3,8,11
                         ,JEUX VIDEO,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0
                         ,LANGUES,16,0,7,5,2,4,3,0,0,2,5,2,4,0,3,4,1,3,0,3,6,2,1,7
                         ,LETTRES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,LITTERATURE,0,0,0,0,1,2,1,0,1,2,0,1,1,1,3,4,2,1,0,1,2,0,3,0
                         ,FONDS LOCAL,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS,21,0,6,7,7,8,18,0,3,7,12,7,12,13,5,3,5,25,0,12,3,4,6,10
                         ,MUSIQUE ADULTES,243,0,54,68,8,63,76,0,20,50,61,21,69,53,54,67,69,173,0,80,52,48,26,102
                         ,MUSIQUE,5,0,1,0,0,1,0,0,1,2,2,0,1,3,3,1,3,5,0,2,2,2,0,2
                         ,MUSIQUE JEUNESSE,22,0,10,11,2,2,17,0,2,8,8,14,11,6,11,6,5,17,0,4,39,5,9,11
                         ,PHILOSOPHIE,9,0,6,1,4,1,10,0,5,4,3,2,6,0,5,6,1,2,0,2,6,3,2,8
                         ,PRESSE,49,0,15,16,20,15,18,0,21,14,25,16,19,15,21,22,21,23,0,18,18,21,31,34
                         ,FONDS PRO,0,0,0,0,0,0,0,0,2,4,1,0,1,1,0,0,0,6,1,0,0,0,0,0
                         ,PSYCHOLOGIE,14,0,4,6,4,3,17,0,7,9,2,8,6,3,7,5,5,9,0,2,9,14,3,10
                         ,RELIGIONS,3,0,1,1,3,2,2,0,6,1,5,4,0,0,6,0,3,6,0,4,0,1,0,7
                         ,ROMANS ADULTES,162,0,98,104,62,53,132,0,118,83,113,54,85,55,96,78,59,144,1,115,80,86,76,129
                         ,ROMANS JEUNESSE,182,0,13,46,12,18,107,0,38,101,45,52,53,57,45,34,24,111,0,30,48,10,53,104
                         ,SCIENCES,63,0,22,24,12,7,26,0,26,17,26,23,26,14,9,8,27,45,6,8,37,19,17,35
                         ,SOCIETE,45,0,15,7,27,37,34,0,13,15,10,7,29,17,13,23,7,48,1,7,24,25,11,41
                         ,SPORTS ET LOISIRS,6,0,6,6,1,3,6,0,6,6,2,2,5,4,1,1,0,6,0,2,3,1,1,7
                         ,VIE PRATIQUE,58,1,22,32,21,11,62,1,24,28,29,25,30,17,45,38,21,75,0,13,38,30,23,49
                         ,THEATRE,24,0,33,0,5,4,6,0,31,5,23,3,4,5,37,19,12,5,0,15,30,16,16,15
                         ,xx,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
Bellevue,TOTAL,0,276,349,585,4,303,0,130,153,145,10,134,0,79,246,0,85,0,273,215,792,32,261,0
                         ,ALBUMS,0,51,72,84,2,46,0,39,29,25,1,12,0,25,63,0,16,0,49,58,167,23,74,0
